timestamp,cpu_percent,mem_percent
2025-09-24 02:04:11,4.8,62.4
2025-09-24 02:05:12,1.9,61.1
2025-09-24 02:06:13,2.1,61.7
2025-09-24 02:07:14,2.5,61.7
2025-09-24 02:08:15,7.2,65.1
2025-09-24 02:09:16,29.2,92.0
2025-09-24 02:10:17,7.4,91.5
2025-09-24 02:11:18,11.9,91.3
2025-09-24 02:12:19,34.4,91.6
2025-09-24 02:13:20,7.9,57.7
2025-09-24 02:14:21,1.0,57.1
2025-09-24 02:15:22,1.2,57.4
2025-09-24 02:16:23,17.9,58.1
2025-09-24 02:17:24,8.4,57.3
2025-09-24 02:18:25,27.2,57.5
2025-09-24 02:23:25,10.9,59.3
2025-09-24 02:24:26,1.7,58.6
2025-09-24 02:25:27,1.6,58.6
2025-09-24 03:04:30,6.4,58.3
2025-09-24 03:09:09,3.1,58.3
2025-09-24 03:10:20,5.3,57.9
2025-09-24 03:12:30,3.7,57.1
2025-09-24 03:13:21,2.2,56.2
2025-09-24 03:15:51,2.5,56.4
2025-09-24 03:16:59,2.9,57.3
2025-09-24 03:18:03,2.3,57.2
2025-09-24 03:22:48,3.5,57.6
2025-09-24 03:23:49,4.6,55.4
2025-09-24 03:24:57,2.4,56.6
2025-09-24 03:26:02,5.6,56.5
2025-09-24 03:27:10,12.3,56.9
2025-09-24 03:33:09,3.4,57.4
2025-09-24 03:34:10,3.8,57.1
2025-09-25 02:54:47,5.1,57.2
2025-09-25 02:55:48,4.0,60.9
2025-09-25 02:56:49,3.1,62.1
2025-09-25 02:57:50,3.2,61.9
2025-09-25 02:58:51,3.2,61.8
2025-09-25 02:59:52,3.0,61.6
2025-09-25 03:00:53,2.5,61.9
2025-09-25 03:40:41,4.1,65.0
2025-09-25 03:41:42,3.4,65.0
2025-09-25 03:45:55,3.8,64.5
2025-09-25 03:46:56,2.8,64.4
2025-09-25 03:49:47,4.7,63.5
2025-09-25 03:50:48,3.3,63.0
2025-09-25 04:27:26,3.9,63.7
2025-09-25 04:28:27,32.5,70.0
2025-09-25 04:29:28,14.5,69.0
2025-09-25 04:30:29,0.7,60.7
2025-09-25 04:31:30,5.7,60.4
2025-09-25 04:32:31,3.4,60.4
2025-09-25 04:33:33,23.9,60.4
2025-09-25 04:34:34,13.2,60.6
